"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-12","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.5","E","","","1"
"2023-01","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.4","E","","","1"
"2023-02","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.1","E","","","1"
"2023-03","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.0","E","","","1"
"2023-04","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.1","E","","","1"
"2023-05","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.7","E","","","1"
"2023-06","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","105.9","E","","","1"
"2023-07","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.0","E","","","1"
"2023-08","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.4","E","","","1"
"2023-09","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.3","E","","","1"
"2023-10","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.8","E","","","1"
"2023-11","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.6","E","","","1"
"2023-12","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.7","E","","","1"
"2024-01","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.5","E","","","1"
"2024-02","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.5","E","","","1"
"2024-03","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","106.9","E","","","1"
"2024-04","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","107.0","E","","","1"
"2024-05","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","107.1","E","","","1"
"2024-06","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","107.4","E","","","1"
"2024-07","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","108.0","E","","","1"
"2024-08","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","108.1","E","","","1"
"2024-09","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","107.9","E","","","1"
"2024-10","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","109.1","E","","","1"
"2024-11","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","109.2","E","","","1"


